BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,3300,10.16049132133844,10.571983369654944,HomeImp,Other,10.5,0.0,0.0,4.55772911139145,1.0,9.0,34.818261819
1,3300,11.157021652204842,11.133142723386813,HomeImp,Other,7.0,0.0,2.0,4.8108284229341445,0.0,14.0,34.818261819
1,3300,9.510519035757246,10.181157167204903,HomeImp,Other,4.0,0.0,0.0,5.013741575737479,1.0,10.0,34.818261819
1,3300,11.082450193857897,11.39904542769666,DebtCon,Other,7.0,0.0,0.0,5.161733701447042,1.0,20.0,34.818261819
0,3300,11.49069008091951,11.626263078808801,HomeImp,Office,3.0,0.0,0.0,4.5468346089715945,0.0,14.0,34.818261819
1,3300,10.327087230839775,10.604627704024997,HomeImp,Other,9.0,0.0,0.0,4.629531054874678,1.0,8.0,37.113613558
1,3300,10.792407087614151,10.951472991359848,HomeImp,Other,5.0,1.0,2.0,4.35799005684564,1.0,17.0,34.818261819
1,3300,10.25776462387486,10.669769017083574,HomeImp,Other,11.0,0.0,0.0,4.497206617314405,0.0,8.0,36.884894093
1,3300,10.39516093745751,10.752377002814772,HomeImp,Other,3.0,0.0,2.0,5.384189205606705,1.0,12.0,34.818261819
1,3300,11.082450193857897,11.038929878454953,HomeImp,Sales,16.0,0.0,0.0,4.760463070394127,0.0,13.0,34.818261819
1,3300,10.026103336076316,11.39904542769666,DebtCon,Other,18.0,0.0,0.0,5.161733701447042,1.0,20.0,34.818261819
1,3300,9.93440465517085,10.30229722897745,HomeImp,Office,11.0,0.0,1.0,4.816511025156166,1.0,9.0,34.818261819
1,3300,10.714439990727769,10.915106645867503,HomeImp,Other,3.0,0.0,0.0,4.466674108737995,2.0,25.0,34.818261819
0,3300,11.07499398172423,11.37826200322577,DebtCon,Mgr,2.5,0.0,0.0,4.998112769074863,0.0,24.0,34.818261819
1,3300,11.170449240431308,11.336796693238679,HomeImp,Other,8.0,0.0,1.0,4.820281565605037,0.0,16.0,34.818261819
1,3300,10.097449430486758,10.454149084799319,HomeImp,Other,7.0,0.0,1.0,5.7099854187918515,0.0,8.0,34.818261819
1,3300,11.41815314049579,11.538602958260002,HomeImp,Mgr,7.0,1.0,2.0,4.819474788635096,1.0,22.0,34.818261819
1,3300,10.044596413496008,11.39904542769666,DebtCon,Other,19.0,0.0,0.0,5.161733701447042,1.0,20.0,14.370985949
1,3300,10.246828999162442,10.600402625664993,HomeImp,Other,4.5,0.0,0.0,4.018183201256536,1.0,16.0,34.818261819
0,3300,11.536358748352967,11.70316558700848,HomeImp,Office,2.0,0.0,0.0,4.521707415788163,0.0,13.0,31.588503178
1,3300,10.535477156784617,10.740756721857226,HomeImp,Other,3.0,0.0,1.0,4.814350030311957,1.0,14.0,34.818261819
1,3300,10.819798284210286,11.203624717204844,HomeImp,ProfExe,5.0,1.0,0.0,5.161733701447042,1.0,0.0,34.818261819
1,3300,10.239995502805316,10.616461869895815,HomeImp,Mgr,12.0,0.0,0.0,4.222444564849416,2.0,22.0,34.818261819
1,3300,9.798182590890704,11.39904542769666,HomeImp,Mgr,22.0,0.0,2.0,4.810013980103709,0.0,10.0,34.818261819
1,3300,11.082450193857897,10.181157167204903,HomeImp,Other,7.0,0.0,0.0,2.745131876028155,3.0,4.0,34.818261819
1,3300,10.459210057184402,10.767895342530602,HomeImp,Mgr,12.0,0.0,0.0,4.269572687120232,1.0,21.0,38.263600731
0,3300,11.497304084067272,11.671603025849786,HomeImp,Office,4.0,0.0,0.0,4.551893608879108,0.0,13.0,29.681827045
1,3300,9.61587214452889,10.181157167204903,HomeImp,Other,18.0,0.0,0.0,4.920467425497165,1.0,19.0,34.818261819
