BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,34.818261819
0,2000,64536.0,87400.0,DebtCon,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,34.818261819
0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178
0,2400,98449.0,117195.0,HomeImp,Office,4.0,0.0,0.0,93.811774855,0.0,13.0,29.681827045
0,2500,7229.0,44516.0,HomeImp,Self,7.0,0.0,0.0,208.0,0.0,12.0,34.818261819
0,2500,71408.0,78600.0,HomeImp,ProfExe,8.0,0.0,0.0,255.73333333,0.0,12.0,34.818261819
0,2900,103949.0,112505.0,HomeImp,Office,1.0,0.0,0.0,96.10232967,0.0,13.0,30.051136286
0,2900,104373.0,120702.0,HomeImp,Office,2.0,0.0,0.0,101.54029753,0.0,13.0,29.915859028
0,3000,104570.0,121729.0,HomeImp,Office,2.0,0.0,0.0,85.884371895,0.0,14.0,32.059783267
0,3000,47000.0,56400.0,HomeImp,Office,21.0,0.0,0.0,201.86666667,0.0,20.0,34.818261819
0,3100,65019.0,70400.0,DebtCon,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,34.818261819
0,3200,74864.0,87266.0,HomeImp,ProfExe,7.0,0.0,0.0,250.63126922,0.0,12.0,42.909997351
0,3600,83700.0,111800.0,HomeImp,ProfExe,6.0,0.0,0.0,192.73333333,1.0,28.0,34.818261819
0,3600,100693.0,114743.0,HomeImp,Office,6.0,0.0,0.0,88.470452135,0.0,14.0,29.393543382
0,3600,52337.0,63989.0,HomeImp,Office,20.0,0.0,0.0,204.27249884,0.0,20.0,20.470915508
0,3800,51180.0,63459.0,HomeImp,Office,20.0,0.0,0.0,203.75153358,0.0,20.0,20.067042051
0,3800,65019.0,73189.0,DebtCon,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,22.253949156
0,3800,11543.0,46045.0,HomeImp,Self,7.0,0.0,0.0,204.64799167,0.0,11.0,42.173165882
0,3900,102143.0,118742.0,HomeImp,Office,2.0,0.0,0.0,85.277365579,0.0,13.0,29.343921089
0,4000,105164.0,112774.0,HomeImp,Office,1.0,0.0,0.0,94.724874167,0.0,13.0,29.390928055
0,4000,54543.0,61777.0,HomeImp,Office,21.0,0.0,0.0,205.58668003,0.0,19.0,21.806563464
0,4000,65019.0,45760.0,HomeImp,Other,0.0,0.0,0.0,173.46666667,0.0,0.0,34.818261819
0,4000,62000.0,78000.0,HomeImp,Other,4.0,0.0,0.0,109.56666667,0.0,15.0,34.818261819
0,4200,56544.0,59218.0,HomeImp,Office,19.0,0.0,0.0,211.00259912,1.0,20.0,19.027704425
0,4200,67700.0,77000.0,DebtCon,Sales,4.0,0.0,0.0,128.83333333,0.0,31.0,34.818261819
0,4200,66272.0,82953.0,HomeImp,Other,3.0,0.0,0.0,110.27866259,0.0,15.0,43.450587911
0,4200,50216.0,58541.0,HomeImp,Office,19.0,0.0,0.0,209.87130224,0.0,19.0,20.20803267
0,4300,71206.0,78698.0,DebtCon,Sales,3.0,0.0,0.0,129.93286902,0.0,31.0,34.181376516
0,4300,68815.0,79852.0,HomeImp,Other,6.0,0.0,0.0,105.12070881,0.0,14.0,41.806376152
0,4400,65019.0,60250.0,DebtCon,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,34.818261819
0,4500,65019.0,77182.0,DebtCon,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,25.227252904
0,4500,71082.0,79247.0,HomeImp,Other,4.0,0.0,0.0,118.76041007,0.0,14.0,41.421110521
0,4500,45500.0,50000.0,HomeImp,Other,6.0,0.0,0.0,86.166666667,0.0,18.0,34.818261819
0,4700,67913.0,97205.0,DebtCon,Mgr,2.0,0.0,0.0,142.82439151,0.0,24.0,35.226997192
0,4700,53918.0,59511.0,DebtCon,Other,6.0,0.0,0.0,54.13647743,1.0,15.0,34.416507811
0,4700,88026.0,115506.0,HomeImp,ProfExe,6.0,0.0,0.0,182.24833156,0.0,27.0,29.20902258
0,4800,67317.0,97191.0,DebtCon,Mgr,3.0,0.0,0.0,137.31972481,0.0,23.0,34.275293777
0,4800,80482.0,88342.0,HomeImp,ProfExe,7.0,0.0,0.0,275.03239483,0.0,11.0,43.717635112
0,4900,65873.0,90408.0,DebtCon,Mgr,2.0,0.0,0.0,141.85899895,0.0,23.0,37.76961861
0,4900,67794.0,84630.0,HomeImp,Other,4.0,0.0,0.0,112.57341888,0.0,15.0,41.673996362
0,4900,65019.0,28437.5,HomeImp,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,34.818261819
0,4900,65019.0,69706.0,DebtCon,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,33.705587738
0,5000,65019.0,34846.0,HomeImp,Other,7.0,0.0,0.0,173.46666667,1.0,20.0,33.354652626
0,5000,47479.0,61690.0,DebtCon,Other,5.0,0.0,0.0,65.032969007,1.0,16.0,36.699414922
